Cyprinodon nevadensis amargosae collection - November 2014,,,,,,,,,
,,,,,,,,,
fish #,population,collection date,sex,SL (mm),body mass (g),pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1557,bore,Nov 2014,M,34,1.04,right,2.68,10.06,10.37
1558,bore,Nov 2014,F,29.3,0.65,2,2.77,8.785,8.214
1559,bore,Nov 2014,M,30.05,0.71,2,2.64,9.18,9.663
1560,bore,Nov 2014,F,32.45,0.93,left,2.24,9.443,8.565
1561,bore,Nov 2014,F,32.7,1.02,0,2.64,7.533,9.927
1562,bore,Nov 2014,M,26.65,0.45,0,2.06,7.555,7.203
1563,bore,Nov 2014,F,23.7,0.35,right,2.2,6.94,6.588
1564,bore,Nov 2014,M,31.35,0.79,2,2.64,8.61,8.873
1565,bore,Nov 2014,F,30.25,0.78,right,2.59,8.301,8.829
1566,bore,Nov 2014,M,32.3,0.93,2,2.99,9.971,9.883
1567,bore,Nov 2014,F,32.3,0.74,2,2.77,10.06,9.18
1568,bore,Nov 2014,F,34.05,1.08,left,2.94,9.839,10.45
1569,bore,Nov 2014,F,29.75,0.82,0,2.9,9.487,9.795
1570,bore,Nov 2014,F,29.7,0.68,0,2.58,8.843,8.521
1571,bore,Nov 2014,M,27.95,0.55,2,2.67,8.14,7.906
1572,bore,Nov 2014,F,26,0.5,0,2.23,8.638,7.994
1573,bore,Nov 2014,M,31.15,0.71,2,2.77,9.795,9.356
1574,bore,Nov 2014,M,31.8,0.92,0,2.46,9.487,9.619
1575,bore,Nov 2014,M,34.45,1.25,2,2.68,10.45,11.24
1576,bore,Nov 2014,F,27.85,0.51,2,2.34,8.111,7.965
1577,bore,Nov 2014,F,28.05,0.53,0,2.34,8.199,7.994
1578,bore,Nov 2014,M,33.7,1.07,2,2.81,9.575,10.76
1579,bore,Nov 2014,M,40.3,1.96,0,3.08,12.21,13.31
1580,bore,Nov 2014,M,32.25,0.91,2,2.55,9.18,10.1
1581,bore,Nov 2014,M,33.55,0.92,2,2.99,10.01,10.15
1582,bore,Nov 2014,F,34.8,0.99,2,2.59,9.927,9.839
1583,bore,Nov 2014,F,22.8,0.29,2,1.67,6.325,6.208
1584,bore,Nov 2014,M,32.4,0.91,2,2.5,9.575,10.1
1585,bore,Nov 2014,M,28.3,0.55,2,2.15,8.433,7.643
1586,bore,Nov 2014,F,23.45,0.3,2,1.85,5.974,6.193
1587,bore,Nov 2014,F,24.9,0.53,2,1.67,7.965,7.526
1588,bore,Nov 2014,M,34.2,1.08,2,2.9,10.59,10.67
1589,bore,Nov 2014,M,35.45,1.31,right,2.43,11.22,11.01
1590,bore,Nov 2014,F,29.45,0.72,left,2.37,8.463,8.931
1591,bore,Nov 2014,F,26.4,0.54,2,2.46,8.433,8.17
1592,bore,Nov 2014,M,33.05,1.22,2,2.42,10.19,10.85
1593,bore,Nov 2014,M,30.07,0.74,0,2.64,9.312,9.136
1594,bore,Nov 2014,F,21.45,0.27,0,1.92,6.679,6.532
1595,bore,Nov 2014,M,37.55,1.58,2,2.86,10.99,12.04
1596,bore,Nov 2014,M,35.25,1.29,2,2.64,11.07,11.11
1597,bore,Nov 2014,M,29.1,0.67,2,2.49,8.304,8.638
1598,bore,Nov 2014,M,21.15,0.26,0,2.05,6.355,6.244
1599,bore,Nov 2014,F,34,1.14,2,2.82,10.14,10.5
1600,bore,Nov 2014,F,24.65,0.37,0,1.94,7.527,6.707
1601,bore,Nov 2014,F,32.55,0.92,left,2.42,9.327,9.768
1602,bore,Nov 2014,M,31.6,0.82,left,2.28,9.576,9.531
1603,bore,Nov 2014,M,36.9,1.42,2,2.9,11.12,11.72
1604,bore,Nov 2014,F,25.5,0.51,2,2.32,8.157,7.764
1605,bore,Nov 2014,F,27.75,0.53,2,2.2,7.777,7.773
1606,bore,Nov 2014,M,39.1,1.78,left,3.12,12.08,13.22
1607,bore,Nov 2014,M,30.7,0.72,2,2.55,8.546,8.662
1608,bore,Nov 2014,M,26.1,0.42,2,1.99,7.496,7.211
1609,bore,Nov 2014,F,28.65,0.63,2,2.68,8.785,8.565
1610,bore,Nov 2014,F,33.35,1.08,left,2.59,10.28,9.927
1611,bore,Nov 2014,M,28.6,0.62,2,2.68,8.704,8.346
1612,bore,Nov 2014,M,34.55,1.3,0,3.12,11.43,11.64
1613,bore,Nov 2014,F,34.35,1.09,2,2.9,10.07,9.93
1614,bore,Nov 2014,M,31.7,0.93,2,2.42,9.619,9.883
1615,bore,Nov 2014,M,38.9,1.77,2,2.91,12.39,12.8
1616,bore,Nov 2014,M,25.2,0.46,right,2.11,7.247,7.424
1617,bore,Nov 2014,M,32.95,1.11,2,2.9,10.24,10.42
1618,bore,Nov 2014,F,28.8,0.55,0,2.31,8.375,8.082
1619,bore,Nov 2014,M,35,1.02,2,2.37,10.45,10.23
1620,bore,Nov 2014,M,25.6,0.46,0,2.05,7.76,7.555
1621,bore,Nov 2014,M,27.3,0.5,2,2.11,7.342,7.424
1622,bore,Nov 2014,F,31,0.78,2,2.37,8.66,8.614
1623,bore,Nov 2014,F,29.35,0.64,2,1.98,9.004,8.26
1624,bore,Nov 2014,M,31.1,0.91,2,2.46,9.487,9.839
1625,bore,Nov 2014,F,34.2,0.92,0,2.64,10.08,9.458
1626,bore,Nov 2014,M,43.7,2.41,2,3.1,14.3,14.36
1627,bore,Nov 2014,M,38.1,1.4,2,2.77,11.47,11.62
1628,bore,Nov 2014,F,30.25,0.63,2,2.31,9.049,8.531
1629,bore,Nov 2014,M,35.05,0.96,2,2.64,10.1,10.11
1630,bore,Nov 2014,F,27.5,0.52,left,2.11,7.69,7.818
1631,bore,Nov 2014,M,35.1,1.3,2,2.9,11.07,11.03
1632,bore,Nov 2014,M,36.45,1.19,2,2.72,10.15,10.85
1633,bore,Nov 2014,F,26.8,0.53,2,2.43,7.819,7.852
1634,bore,Nov 2014,F,34.25,0.99,2,2.72,9.664,9.927
1635,bore,Nov 2014,M,31.85,0.76,2,2.33,9.136,9.18
1636,bore,Nov 2014,M,41.05,1.9,2,3.08,11.9,12.26
1637,bore,Nov 2014,F,30.65,0.71,2,2.49,9.107,9.048
1638,bore,Nov 2014,M,40.3,1.99,2,2.81,12.04,13.31
1639,bore,Nov 2014,M,41,1.82,2,3.16,12.65,13.4
1640,bore,Nov 2014,M,35.4,1.2,2,2.59,10.98,10.63
1641,bore,Nov 2014,F,29.25,0.76,2,2.43,9.195,9.019
1642,bore,Nov 2014,M,32,0.87,0,2.72,9.707,9.268
